               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.012111,           0.0058357,           0.0011936,             0.95961,             0.96283,             0.98136,             0.77083,             0.01307,           0.0080253,          0.00011695,            0.070006,           0.0033327,           0.0033327
                   1,             0.01555,           0.0066557,           0.0019332,             0.94665,             0.95561,             0.97389,             0.73218,            0.013879,           0.0083037,           0.0004959,             0.03994,              0.0066,              0.0066
                   2,             0.02016,            0.008958,           0.0041009,             0.87099,             0.89868,             0.92906,             0.67111,            0.016217,           0.0093299,          0.00076298,            0.009808,           0.0098013,           0.0098013
                   3,            0.023991,            0.011603,           0.0085361,             0.89903,             0.86841,             0.92418,             0.64731,            0.016506,           0.0094936,           0.0010497,            0.009703,            0.009703,            0.009703
                   4,            0.023823,            0.011206,            0.007121,             0.93823,              0.9077,             0.95663,             0.69608,             0.01543,           0.0090326,          0.00066851,            0.009703,            0.009703,            0.009703
                   5,            0.022785,            0.010693,           0.0063474,              0.9163,             0.91644,             0.94305,              0.6894,            0.015062,           0.0090237,          0.00075552,            0.009604,            0.009604,            0.009604
                   6,            0.022402,            0.010416,           0.0062576,             0.89957,             0.91427,             0.93707,             0.69546,            0.015022,           0.0089389,            0.000593,            0.009505,            0.009505,            0.009505
                   7,            0.021887,            0.010115,           0.0056418,             0.94172,             0.92504,             0.95952,             0.71928,             0.01449,           0.0086216,          0.00053344,            0.009406,            0.009406,            0.009406
                   8,            0.021282,           0.0098854,            0.005216,             0.94466,              0.9492,             0.97468,             0.74203,            0.014139,           0.0085005,          0.00042022,            0.009307,            0.009307,            0.009307
                   9,            0.021154,           0.0098384,           0.0052372,             0.93898,              0.9401,             0.96927,             0.73222,            0.013919,           0.0084127,          0.00038452,            0.009208,            0.009208,            0.009208
                  10,            0.021097,           0.0097547,           0.0052145,             0.96089,             0.93702,             0.97678,             0.74308,            0.013583,           0.0083688,          0.00038325,            0.009109,            0.009109,            0.009109
                  11,            0.020776,           0.0097291,            0.005004,             0.95246,              0.9524,             0.97727,             0.75467,            0.013571,           0.0082213,          0.00032659,             0.00901,             0.00901,             0.00901
                  12,            0.020638,           0.0095663,           0.0047765,             0.95489,             0.94821,             0.97604,             0.75428,            0.013519,           0.0082078,          0.00034397,            0.008911,            0.008911,            0.008911
                  13,            0.020401,           0.0094827,            0.004667,             0.96192,              0.9477,             0.97868,              0.7589,            0.013294,           0.0082152,          0.00039717,            0.008812,            0.008812,            0.008812
                  14,            0.020356,            0.009476,           0.0046308,             0.95835,             0.95649,             0.97936,             0.76093,            0.013183,           0.0081518,           0.0003245,            0.008713,            0.008713,            0.008713
                  15,             0.02023,           0.0094743,           0.0047072,             0.95456,             0.95738,             0.97833,             0.75803,            0.013127,           0.0081177,          0.00035202,            0.008614,            0.008614,            0.008614
                  16,            0.020065,           0.0093339,            0.004465,             0.95583,             0.95837,             0.97928,             0.76183,            0.012929,           0.0080726,          0.00030998,            0.008515,            0.008515,            0.008515
