               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092051,            0.083068,            0.072042,             0.23503,             0.20147,            0.053738,            0.024167,            0.075256,            0.054333,            0.057486,            0.070366,           0.0032927,           0.0032927
                   1,            0.064912,            0.061323,            0.052572,             0.54404,              0.3873,             0.22012,            0.094368,            0.063687,            0.045646,            0.041089,             0.03971,             0.00597,             0.00597
                   2,            0.061418,            0.056575,            0.038711,             0.63037,             0.40787,             0.46523,             0.23688,            0.060169,            0.045628,            0.029775,           0.0083939,           0.0079874,           0.0079874
                   3,            0.053407,            0.053136,            0.028884,             0.53558,             0.64423,             0.59966,             0.30376,            0.049917,            0.039152,             0.02306,             0.00703,             0.00703,             0.00703
                   4,            0.046673,            0.050576,            0.022352,             0.73766,             0.67568,             0.73403,             0.38872,            0.042271,            0.037844,            0.018025,             0.00703,             0.00703,             0.00703
                   5,            0.041508,             0.04694,            0.017666,             0.91268,             0.74151,             0.78946,             0.41628,            0.038114,            0.035741,            0.015436,             0.00604,             0.00604,             0.00604
                   6,            0.036316,            0.044481,            0.014606,             0.90079,             0.78275,             0.82509,             0.55266,            0.029894,            0.032578,            0.013091,             0.00505,             0.00505,             0.00505
                   7,            0.032104,            0.044167,            0.012484,             0.95647,             0.80923,               0.855,             0.63448,            0.026791,            0.032008,            0.011228,             0.00406,             0.00406,             0.00406
                   8,            0.029083,            0.042779,            0.011009,             0.97224,             0.80878,             0.87642,             0.66236,            0.026046,            0.031459,           0.0097882,             0.00307,             0.00307,             0.00307
                   9,            0.025929,            0.040421,             0.00949,             0.98705,             0.80656,             0.90229,             0.68715,             0.02355,            0.029561,           0.0086969,             0.00208,             0.00208,             0.00208
